filerName,filing,submissionType,reportPeriod,filedDate,inclMgrs,normalizedIssuer,normalizedTitleOfClass,issuerSIC,issuerSector,issuerTicker,issuerQkid,value,shrsOrPrnAmt,putCall,shrsOrPrnAmtType,invDiscretion,votingAuthSole,votingAuthShared,votingAuthNone,portWgt,hasOtherManager,otherManager,otherManagerFileNumber,QtrsHeld,QOQSshPrnAmt,QOQValue,QOQPortWgt,newOrDel
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,WINVEST ACQUISITION CORP,*W EXP 08/09/202,6770,NA,WINVW,0001854463.0010.0127QDYM6,3938,375000,,SH,DFND,375000,0,0,0.00000003,TRUE,1,028-05394,10,0,-1687,-0.00000002,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,TG VENTURE ACQUISITION CORP,*W EXP 08/15/202,6770,NA,TGVCW,0001865191.0010.012518WT6,0,0,,SH,DFND,0,0,0,0,TRUE,1,028-05394,9,-150000,-3615,-0.00000003,DEL
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,ABLE VIEW GLOBAL INC,*W EXP 08/18/202,5960,CD,ABLVW,0001957489.0010.01GN9BF57,9820,200000,,SH,DFND,200000,0,0,0.00000008,TRUE,1,028-05394,3,0,6840,0.00000006,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,FUTURETECH II ACQUISITION CO,*W EXP 08/18/202,6770,NA,FTIIW,0001889450.0010.016NMPXN6,8775,225000,,SH,DFND,225000,0,0,0.00000008,TRUE,1,028-05394,8,0,5400,0.00000005,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,RENEW ENERGY GLOBAL PLC,*W EXP 08/21/202,4911,UT,RNWWW,0001848763.0010.0125C2T51,295978,591955,,SH,DFND,591955,0,0,0.00000253,TRUE,1,028-05394,9,0,-349253,-0.0000031,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,NOCO NOCO INC,*W EXP 08/25/202,3690,IN,NCNCW,0001964021.0010.01HWZTNM2,1114,148500,,SH,DFND,148500,0,0,0.00000001,TRUE,1,028-05394,3,0,60,0,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,RESERVOIR MEDIA INC,*W EXP 08/26/202,7900,CD,RSVRW,0001824403.0010.00YR12WP3,662988,547924,,SH,DFND,547924,0,0,0.00000567,TRUE,1,028-05394,7,0,-158898,-0.00000151,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,INFLECTION PT ACQUISITN CRP,*W EXP 08/31/202,6770,NA,IPXXW,0001970622.0010.01HFW7MK6,2670,17800,,SH,DFND,17800,0,0,0.00000002,TRUE,1,028-05394,3,0,890,0.00000001,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,SOMALOGIC INC,*W EXP 08/31/202,8731,HC,SLGCW,0001837412.0010.00Z4JF535,0,0,,SH,DFND,0,0,0,0,TRUE,1,028-05394,10,-990303,-118836,-0.00000104,DEL
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,NABORS ENERGY TRANSITION COR,*W EXP 09/01/202,6770,NA,,0001975218.0010.UF010608A,38390,349000,,SH,DFND,349000,0,0,0.00000033,TRUE,1,028-05394,3,0,-8271,-0.00000008,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,KAIROUS ACQUISITION CORP LTD,*W EXP 09/15/202,6770,NA,KACLW,0001865468.0010.014MY0QJ3,1400,70000,,SH,DFND,70000,0,0,0.00000001,TRUE,1,028-05394,9,0,994,0.00000001,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,REVELSTONE CAPITAL ACQSTN CO,*W EXP 09/15/202,6770,NA,RCACW,0001874218.0010.0154LV9F6,0,0,,SH,DFND,0,0,0,0,TRUE,1,028-05394,7,-150000,-6000,-0.00000005,DEL
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,ARCHER AVIATION INC,*W EXP 09/16/202,3721,IN,ACHR,0001824502.0010.UF007423A,1066451,1481182,,SH,DFND,1481182,0,0,0.00000913,TRUE,1,028-05394,7,173675,-842509,-0.00000755,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,GINKGO BIOWORKS HOLDINGS INC,*W EXP 09/16/202,2836,HC,DNA,0001830214.0010.UF007789A,6411,71236,,SH,DFND,71236,0,0,0.00000005,TRUE,1,028-05394,11,0,-1090,-0.00000001,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,RUMBLE INC,*W EXP 09/16/202,7370,TE,RUMBW,0001830081.0010.00ZZLL9Q6,239787,106572,,SH,DFND,106572,0,0,0.00000205,TRUE,1,028-05394,7,0,137840,0.00000116,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,AVEPOINT INC,*W EXP 09/18/202,7372,TE,AVPTW,0001777921.0010.00QRNGY82,307671,330794,,SH,DFND,330794,0,0,0.00000263,TRUE,1,028-05394,7,0,-127323,-0.00000117,
