issuerName,filing,submissionType,reportPeriod,filedDate,issuerTitleOfClass,filerCik,filerName,issuerQkid,value,QOQValue,shrsOrPrnAmt,QOQSshPrnAmt,portWgt,QOQPortWgt,qtrsHeld,newOrDeleted
CROCS INC,edgar/data/1730960/0001104659-24-079499.txt,13F-HR,20240630,20240712,COM,1730960,Sound Income Strategies  LLC,0001334036.0000.000BLY663,5838,5838,40,40,0.00000365,0.00000365,1,NEW
CROCS INC,edgar/data/773411/0000773411-24-000004.txt,13F-HR,20240630,20240718,COM,773411,VALLEY NATIONAL ADVISERS INC,0001334036.0000.000BLY663,5000,1000,35,5,0.00742045,0.00137509,3,
CROCS INC,edgar/data/85338/0001104659-24-084047.txt,13F-HR,20240630,20240731,COM,85338,ROTHSCHILD INVESTMENT LLC,0001334036.0000.000BLY663,4378,0,30,0,0.00000305,0,0,
Crocs  Inc.,edgar/data/1259969/0001140361-24-035730.txt,13F-HR,20240630,20240805,COM,1259969,FARMERS & MERCHANTS INVESTMENTS INC,0001334036.0000.000BLY663,3649,54,25,0,0.00000122,0,8,
CROCS INC,edgar/data/1535293/0001535293-24-000005.txt,13F-HR,20240630,20240717,COM,1535293,J.Safra Asset Management Corp,0001334036.0000.000BLY663,2919,2919,20,20,0.00000295,0.00000295,1,NEW
CROCS INC,edgar/data/2008660/0002008660-24-000004.txt,13F-HR,20240630,20240709,COM,2008660,Naples Money Management LLC,0001334036.0000.000BLY663,2807,75,19,0,0.00002394,-0.00000329,2,
CROCS INC,edgar/data/1976256/0001976256-24-000003.txt,13F-HR,20240630,20240709,COM,1976256,ZRC WEALTH MANAGEMENT  LLC,0001334036.0000.000BLY663,2190,33,15,0,0.00001037,-0.0000004,2,
CROCS INC,edgar/data/2031978/0002031978-24-000004.txt,13F-HR,20240630,20240731,COM,2031978,WR Wealth Planners  LLC,0001334036.0000.000BLY663,2189,32,15,0,0.00000668,-0.00000003,2,
CROCS INC,edgar/data/1588539/0000036966-24-000075.txt,13F-HR,20240630,20240719,COM,1588539,First Horizon Advisors  Inc.,0001334036.0000.000BLY663,2188,894,15,6,0.00000121,0.00000049,8,
CROCS INC,edgar/data/1827844/0001398344-24-012946.txt,13F-HR,20240630,20240723,COM,1827844,TFC Financial Management  Inc.,0001334036.0000.000BLY663,1606,168,11,1,0.00000282,0.00000026,3,
CROCS INC,edgar/data/1800234/0001085146-24-003073.txt,13F-HR,20240630,20240717,COM,1800234,ATTICUS WEALTH MANAGEMENT  LLC,0001334036.0000.000BLY663,1460,22,10,0,0.00000477,0.00000007,5,
